,,,,,,,,,,,,,,
,qc_id,식당이�,시도,시군구,주소,카테고�,카테��,경도,위도,x,y,방문횟�,auxiliary_,auxiliar_1
,1629,교동짬뽕,충청남도,당진시,충청남도 당진시 시청2로 6-24 1층 교동짬뽕,중식,중식당,1266432374,368898040,126.6432374,36.889804,66,,
,1665,만리장성,전남,영암군,전라남도 영암군 영암읍 중앙로 41-2,중식,중식당,1266979584,348000055,126.6979584,34.8000055,66,,
,1697,교동짬뽕,전라북도,군산시,전북특별자치도 군산시 칠성로 39,중식,중식당,1266780276,359583449,126.6780276,35.9583449,66,,
,1798,만리장성,전라북도,김제시,전북특별자치도 김제시 동서1길 7,중식,중식당,1268806921,357968892,126.8806921,35.7968892,66,,
,1820,만리장성,전남,장흥군,전라남도 장흥군 장흥읍 물레방앗간길 35,중식,중식당,1269065463,346800225,126.9065463,34.6800225,66,,
,1892,교동짬뽕,충청남도,아산시,충청남도 아산시 탕정면 탕정면로8번길 51-3,중식,중식당,1270611495,367966418,127.0611495,36.7966418,66,,
,1925,만리장성,충청남도,공주시,충청남도 논산시 노성면 노성로 587-1,중식,중식당,1271312227,362769670,127.1312227,36.276967,66,,
,1940,만리장성,전라북도,순창군,전북특별자치도 순창군 순창읍 순창로 80,중식,중식당,1271439495,353636267,127.1439495,35.3636267,66,,
,2039,만리장성,전라남도,구례군,전라남도 구례군 구례읍 서시천로 80,중식,중식당,1274669757,352149636,127.4669757,35.2149636,66,,
,2076,교동짬뽕,전라남도,순천시,전라남도 광양시 광양읍 서평10길 51 1층 교동짬뽕,중식,중식당,1275796310,349828728,127.579631,34.9828728,66,,
,2112,만리장성,경기도,여주시,경기도 이천시 장호원읍 경충대로597번길 251,중식,중식당,1275751398,371623413,127.5751398,37.1623413,66,,
,2206,교동짬뽕,강원특별자치도,횡성군,강원특별자치도 횡성군 횡성읍 읍상로 16,중식,중식당,1279895211,374871055,127.9895211,37.4871055,66,,
,2279,만리장성,경상북도,고령군,경상북도 고령군 대가야읍 왕릉로 82-2,중식,중식당,1282659054,357272133,128.2659054,35.7272133,66,,
,2506,만리장성,강원,춘천시,강원특별자치도 춘천시 신북읍 율문길 72,중식,중식당,1277455129,379253760,127.7455129,37.925376,66,,
,2509,만리장성,강원도,정선군,강원특별자치도 정선군 사북읍 사북중앙로 11,중식,중식당,1288158986,372271045,128.8158986,37.2271045,66,,
,2524,만리장성,충남,서산시,충청남도 서산시 문화로 67,중식,중식당,1264472458,367870347,126.4472458,36.7870347,66,,
,2564,교동짬뽕,강원도,홍천군,,중식,,1278968649,376924816,127.8968649,37.6924816,66,,
,2567,교동짬뽕,경상남도,창녕군,경상남도 창녕군 남지읍 남지중앙2길 69,중식,,1284767109,353929249,128.4767109,35.3929249,66,,
,2568,교동짬뽕,강원도,평창군,강원특별자치도 평창군 대관령면 횡계길 30 교동짬뽕,중식,,1287088728,376735068,128.7088728,37.6735068,66,,
,3976,카페5번가,경상북도,의성군,경상북도 의성군 안계면 안신로 18,카페,카페,1284365326,363905132,128.4365326,36.3905132,66,,
,4543,도화지,전라남도,해남군,전라남도 해남군 해남읍 읍내길 35 섬마을,한식,,1266003630,345714248,126.600363,34.5714248,66,,
,5633,아리랑식당,전북특별자치도,완주군,전북특별자치도 완주군 운주면 대둔산공원길 34-1,한식,,1273317339,361167718,127.3317339,36.1167718,66,,
,6512,아리랑식당,경상남도,함안군,경상남도 함안군 가야읍 충무길 45,한식,,1284015764,352785929,128.4015764,35.2785929,66,,
,12920,아리랑식당,경북,경주시,경상북도 경주시 숲머리길 197,한식,닭요리,1292566637,358446012,129.2566637,35.8446012,66,,
,6947,수원식당,경상북도,청송군,경상북도 청송군 진보면 체육공원로 34-1 수원식당,한식,,1290510759,365292596,129.0510759,36.5292596,65,,
,7472,맛나감자탕,전남,목포시,전라남도 목포시 남악1로52번길 12-4,한식,감자탕,1264467105,348099194,126.4467105,34.8099194,65,,
,7516,남원추어탕,전라남도,무안군,전라남도 무안군 청계면 도대로 125-9,한식,추어탕,1264411786,349684075,126.4411786,34.9684075,65,,
,8802,남원추어탕,경기도,화성시,경기도 화성시 경기대로 1016,한식,추어탕,1270362920,372066930,127.036292,37.206693,65,,
,8833,맛나감자탕,충청남도,예산군,충청남도 예산군 예산읍 역전로140번길 22,한식,감자탕,1268325377,366913132,126.8325377,36.6913132,65,,
,9298,남원추어탕,경기도,수원시,경기도 수원시 팔달구 세지로 420 1층,한식,추어탕,1270308491,372863707,127.0308491,37.2863707,65,,
,10183,남원추어탕,충청북도,청주시,충청북도 청주시 상당구 목련로 226 곤드레 남원 추어탕,한식,추어탕,1275277663,366073317,127.5277663,36.6073317,65,,
,11245,남원추어탕,경상남도,진주시,경상남도 진주시 문산읍 월아산로 1055,한식,추어탕,1281640090,351653110,128.164009,35.165311,65,,
,12367,맛나감자탕,경상남도,밀양시,경상남도 밀양시 미리벌로 15,한식,감자탕,1287513544,354822441,128.7513544,35.4822441,65,,
,2252,대가야성,경상북도,상주시,경상북도 상주시 복룡3길 45 대가야성,중식,중식당,1281725634,364186223,128.1725634,36.4186223,64,,
,2334,대가야성,경상남도,창녕군,경상남도 창녕군 대지면 우포2로 1178,중식,중식당,1284855516,355458719,128.4855516,35.5458719,64,,
